# id	length	x	y	z	rot_z	rot_y	rot_x
20      0.33    0.0     0.0     0       0       0       0
16      0.33    4.0     0.0     0       0       0       0
15      0.33    5.0     0.0     0       0       0       0
9       0.33    5.0     3.0     0       0       0       0
47      0.33    7.0     3.0     0       0       0       0
27      0.33    7.0     6.0     0       0       0       0
11      0.33    1.0     6.0     0       0       0       0
43      0.33    1.0     4.0     0       0       0       0
41      0.33    3.0     4.0     0       0       0       0
13      0.33    3.0     2.0     0       0       0       0
21      0.33    0.0     2.0     0       0       0       0
1       0.33    0.0     7.0     0       0       0       0
