# id	length	x	y	z	rot_z	rot_y	rot_x
0	0.34	0.0	5.36	0	0	0	0
1	0.34	0.9	5.36	0	0	0	0
2	0.34	1.8	5.36	0	0	0	0
3	0.34	2.7	5.36	0	0	0	0
4	0.34	3.6	5.36	0	0	0	0

6	0.34	5.4	5.36	0	0	0	0
7	0.34	6.3	5.36	0	0	0	0
16	0.34	7.2	5.36	0	0	0	0
17	0.34	8.1	5.36	0	0	0	0
8	0.34	0.0	4.0200000000000005	0	0	0	0
9	0.34	0.9	4.0200000000000005	0	0	0	0
10	0.34	1.8	4.0200000000000005	0	0	0	0
14	0.34	2.7	4.0200000000000005	0	0	0	0
15	0.34	3.6	4.0200000000000005	0	0	0	0
29	0.34	4.5	4.0200000000000005	0	0	0	0
24	0.34	5.4	4.0200000000000005	0	0	0	0
25	0.34	6.3	4.0200000000000005	0	0	0	0
11	0.34	7.2	4.0200000000000005	0	0	0	0
12	0.34	8.1	4.0200000000000005	0	0	0	0


18	0.34	1.8	2.68	0	0	0	0
19	0.34	2.7	2.68	0	0	0	0
20	0.34	3.6	2.68	0	0	0	0
21	0.34	4.5	2.68	0	0	0	0
37	0.34	5.4	2.68	0	0	0	0
38	0.34	6.3	2.68	0	0	0	0
79	0.34	7.2	2.68	0	0	0	0

22	0.34	0.0	1.3399999999999999	0	0	0	0
23	0.34	0.9	1.3399999999999999	0	0	0	0
26	0.34	1.8	1.3399999999999999	0	0	0	0
27	0.34	2.7	1.3399999999999999	0	0	0	0
28	0.34	3.6	1.3399999999999999	0	0	0	0
13	0.34	4.5	1.3399999999999999	0	0	0	0
30	0.34	5.4	1.3399999999999999	0	0	0	0
31	0.34	6.3	1.3399999999999999	0	0	0	0
63	0.34	7.2	1.3399999999999999	0	0	0	0

32	0.34	0.0	0.0	0	0	0	0
34	0.34	0.9	0.0	0	0	0	0
36	0.34	1.8	0.0	0	0	0	0
33	0.34	2.7	0.0	0	0	0	0
60	0.34	3.6	0.0	0	0	0	0

78	0.34	5.4	0.0	0	0	0	0
5	0.34	6.3	0.0	0	0	0	0
61	0.34	7.2	0.0	0	0	0	0

